ID;Geslacht;LeeftijdOp31December;Perioden;Overledenen_1
294;T001038;10000;1976W125;2064
295;T001038;10000;1976W126;2415
296;T001038;10000;1976W127;2672
297;T001038;10000;1976W128;2361
298;T001038;10000;1976W129;1987
299;T001038;10000;1976W130;1833
300;T001038;10000;1976W131;1912
301;T001038;10000;1976W132;1913
302;T001038;10000;1976W133;2098
303;T001038;10000;1976W134;1923
304;T001038;10000;1976W135;2007
305;T001038;10000;1976W136;1816
306;T001038;10000;1976W137;1900
307;T001038;10000;1976W138;1973
308;T001038;10000;1976W139;1997
309;T001038;10000;1976W140;2058
310;T001038;10000;1976W141;1970
311;T001038;10000;1976W142;2010
312;T001038;10000;1976W143;2095
313;T001038;10000;1976W144;2061
314;T001038;10000;1976W145;2114
315;T001038;10000;1976W146;2161
316;T001038;10000;1976W147;2121
317;T001038;10000;1976W148;2040
318;T001038;10000;1976W149;2184
319;T001038;10000;1976W150;2214
320;T001038;10000;1976W151;2140
321;T001038;10000;1976W152;2192
322;T001038;10000;1976W153;1644
323;T001038;10000;1976JJ00;114454
324;T001038;10000;1977X000;659
325;T001038;10000;1977W101;2198
326;T001038;10000;1977W102;2222
327;T001038;10000;1977W103;2236
328;T001038;10000;1977W104;2145
329;T001038;10000;1977W105;2207
330;T001038;10000;1977W106;2162
331;T001038;10000;1977W107;2127
332;T001038;10000;1977W108;2193
333;T001038;10000;1977W109;2219
334;T001038;10000;1977W110;2214
335;T001038;10000;1977W111;2197
336;T001038;10000;1977W112;2363
337;T001038;10000;1977W113;2285
338;T001038;10000;1977W114;2184
339;T001038;10000;1977W115;2191
340;T001038;10000;1977W116;2257
341;T001038;10000;1977W117;2153
342;T001038;10000;1977W118;2085
343;T001038;10000;1977W119;2109
344;T001038;10000;1977W120;2052
345;T001038;10000;1977W121;2083
346;T001038;10000;1977W122;1988
347;T001038;10000;1977W123;2046
348;T001038;10000;1977W124;2106
349;T001038;10000;1977W125;1989
350;T001038;10000;1977W126;2026
351;T001038;10000;1977W127;2113
352;T001038;10000;1977W128;1891
353;T001038;10000;1977W129;1936
354;T001038;10000;1977W130;1875
355;T001038;10000;1977W131;1953
356;T001038;10000;1977W132;1898
357;T001038;10000;1977W133;1981
358;T001038;10000;1977W134;1978
359;T001038;10000;1977W135;1972
360;T001038;10000;1977W136;1951
361;T001038;10000;1977W137;1971
362;T001038;10000;1977W138;2112
363;T001038;10000;1977W139;2066
364;T001038;10000;1977W140;2190
365;T001038;10000;1977W141;2055
366;T001038;10000;1977W142;2043
367;T001038;10000;1977W143;1981
368;T001038;10000;1977W144;2082
369;T001038;10000;1977W145;2084
370;T001038;10000;1977W146;2163
371;T001038;10000;1977W147;2280
372;T001038;10000;1977W148;2297
373;T001038;10000;1977W149;2248
374;T001038;10000;1977W150;2152
375;T001038;10000;1977W151;2186
376;T001038;10000;1977W152;1939
377;T001038;10000;1977JJ00;110093
378;T001038;10000;1978X000;323
379;T001038;10000;1978W101;2299
380;T001038;10000;1978W102;2344
381;T001038;10000;1978W103;2292
382;T001038;10000;1978W104;2429
383;T001038;10000;1978W105;2535
384;T001038;10000;1978W106;2766
385;T001038;10000;1978W107;2953
386;T001038;10000;1978W108;3022
387;T001038;10000;1978W109;2378
388;T001038;10000;1978W110;2260
389;T001038;10000;1978W111;2190
390;T001038;10000;1978W112;2126
391;T001038;10000;1978W113;2205
392;T001038;10000;1978W114;2152
393;T001038;10000;1978W115;2100
394;T001038;10000;1978W116;2221
395;T001038;10000;1978W117;2107
396;T001038;10000;1978W118;2164
397;T001038;10000;1978W119;2028
398;T001038;10000;1978W120;2101
399;T001038;10000;1978W121;2039
400;T001038;10000;1978W122;2334
401;T001038;10000;1978W123;2057
402;T001038;10000;1978W124;2087
403;T001038;10000;1978W125;2073
404;T001038;10000;1978W126;2015
405;T001038;10000;1978W127;1971
406;T001038;10000;1978W128;2033
407;T001038;10000;1978W129;1983
408;T001038;10000;1978W130;2230
409;T001038;10000;1978W131;2070
